verb;translation_simple;translation_details;comment;score;score_comment;coder
tread;trä en tråd i en nål;;;0;;
tread;trä på nånting;;;0;;
trek;hajka;;;1;;
trek;hajka;också typ hajka;;1;;
trek;jag vet inte;;;0;;
trek;jag vet inte;låter benrelaterat;;0;;
trek;vandra;;;1;;
trek;vandra;det känns som att det betyder att vandra ungefär;;1;;
trek;vandra, promenera;eller nåt sånt;;1;;
trip;jag vet inte;;;0;;
trip;ramla;;;1;;
trip;snubbla;;;1;;
trip;snubbla, ramla;;;1;;
trip;trilla;;;1;;
trip;trippa, gå stilla/lugnt/försiktigt;;;1;;
trot;jag vet inte;;;0;;
trot;jag vet inte;tror att det är benrelaterat;;0;;
trot;smyga, gå lite försiktigt;;;0;;
trot;strutta;kanske;;0;;
trot;trava;;;1;;
trudge;jag vet inte;;;0;;
trudge;jag vet inte;"""ingen aning""";;0;;
trudge;truga;;;0;;
trudge;trycka in, pressa in mellan;;;0;;
trudge;vet inte;;;0;;
tug;bogsera;;;1;;
tug;dra;;;1;;
tug;dra ;;;1;;
tug;drag;;;0;;
tug;ingen aning;;;0;;
tug;jag vet inte;;;0;;
tug;jag vet inte;aldrig hört;;0;;
tug;krama;"""typ krama kanske""";;0;;
tug;vet inte;;;0;;
twine;jag vet inte;;;0;;
twine;tvina;;;0;;
twine;tvinna;;;1;;
twine;tvinna ;twine tror jag betyder tvinna;;1;;
waddle;jag vet inte;;;0;;
waddle;jag vet inte;har med gå att göra;;0;;
waddle;vanka;;;1;;
waddle;vet inte;;;0;;
waddle;vingla;typ vingla kanske;;1;;
wade;jag vet inte;;;0;;
wade;vada;;;1;;
walk;gå;;;1;;
walk;promenera;;;1;;
walk;promenera, gå;;;1;;
wander;gå omkring lite förvirrat;;;1;;
wander;jag vet inte;;;0;;
wander;strosa;;;1;;
wander;undra;;;0;;
wander;vandra;;;1;;
wander;vandra;kanske;;1;;
wander;vandra;typ;;1;;
wander;vandra;nej skit samma det är inte det;;1;;
