original_order_appendix,word_category,word,cognate_Swe_bin,cognate_Swe_which,in_original_study_S&P,L2_norms_collected,Arm_rating_June2018,Leg_rating_June2018,arm_minus_leg_bias_June2018,bias_absol_June2018,frequency (Zipf; subtlex),DomPoS (dominant part of speech; subtlex),comment
17,leg,stray,0,,yes,yes,1.705882353,6.176470588,-4.470588235,4.470588235,3.54,adjective,
15,leg,stride,0,,yes,yes,1.588235294,6.117647059,-4.529411765,4.529411765,3.86,noun,
25,leg,stroll,0,,yes,yes,1.117647059,6.941176471,-5.823529412,5.823529412,3.6,verb,
35,leg,strut,1,strutta,yes,yes,1.176470588,6.705882353,-5.529411765,5.529411765,3.19,verb,
-99,leg,stumble,0,,no,yes,1,6.882352941,-5.882352941,5.882352941,3.38,verb,
-99,leg,sway,1,svaja,no,yes,2.352941176,5.705882353,-3.352941176,3.352941176,3.56,verb,
-99,leg,tiptoe,0,,no,yes,1.058823529,7,-5.941176471,5.941176471,3.11,verb,
-99,leg,toddle,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830)
-99,leg,totter,0,,no,no,NA,NA,NA,NA,,,AP added this after the pilot (180830); can be a noun as well
-99,leg,traipse,0,,no,yes,2.705882353,5,-2.294117647,2.294117647,2.16,verb,
-99,leg,tramp,1,trampa,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): synonym of trample; can be a noun as well
-99,leg,trample,1,trampa,no,no,NA,NA,NA,NA,,,"GMM added this after the pilot (180828): from Appendix in Sato et al (2008). Can also mean ""treat with contempt"", which is devoid of leg association"
18,leg,tread,1,träda,yes,yes,2.117647059,5.941176471,-3.823529412,3.823529412,3.6,verb,
-99,leg,trek,0,,no,no,NA,NA,NA,NA,,,Guillermo added this so as to have 56 leg verbs
-99,leg,trip,1,trippa,no,yes,1.117647059,6.882352941,-5.764705882,5.764705882,4.75,noun,
-99,leg,trot,0,,no,yes,1.117647059,6.588235294,-5.470588235,5.470588235,3.6,noun,
34,leg,trudge,0,,yes,yes,1.294117647,6.235294118,-4.941176471,4.941176471,2.48,verb,
-99,leg,waddle,0,,no,no,NA,NA,NA,NA,,,GMM added this after the pilot (180828): from Appendix in Kelpp et al. [2014]. Probably not an easy (nor frequent) verb...
20,leg,wade,1,vada,yes,yes,2.235294118,6.058823529,-3.823529412,3.823529412,3.63,name,
-99,leg,walk,0,,no,yes,1.176470588,7,-5.823529412,5.823529412,5.19,verb,
-99,leg,wander,1,vandra,no,yes,1.235294118,6.823529412,-5.588235294,5.588235294,3.87,verb,
-99,leg,wobble,0,,no,yes,1.882352941,6.294117647,-4.411764706,4.411764706,3.7,noun,
