"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"sign","signera, skriva under","","",1,"",1,"",1
"sign","skriva under, signera","","",1,"",1,"",1
"skate","jag vet inte","","",0,"",0,"",1
"skate","skejta","","",1,"",1,"",1
"skate","åka skateboard, skidor, snowboard","åka skateboard, skidor, snowboard tror jag också","",1,"",1,"",1
"skate","åka skridskor","","",1,"",1,"",1
"skate","åka skridskor, skejta","","",1,"",1,"",1
"skate","åka skridskor, åka skateboard","","",1,"",1,"",1
"skim","jag vet inte","ingen aning","",0,"",0,"",1
"skim","jag vet inte","men tror att det varken har med armar eller ben att göra","",0,"",0,"",1
"skim","jag vet inte","","",0,"",0,"",1
"skim","skumläsa","jag skulle gissa på skumläsa, läsa över ytligt","",1,"",-99,"korrekt men inte den armrelaterade betydelsen vi menar",0
"skim","skumma","","",1,"",0.5,"",0
"skim","skumma av","","",1,"",1,"",1
"skim","sno","jag är inte säker men … sno","",1,"",0,"",0
"skim","ta av det översta lagret av något","","",1,"",1,"",1
"skip","hoppa","""ett litet hopp eeh hoppa""","",1,"",1,"",1
"skip","hoppa","typ","",1,"",1,"",1
"skip","hoppa","","",1,"",1,"",1
"skip","hoppa över","","",1,"",1,"",1
"skip","hoppa över, hoppa","","",1,"",1,"",1
"skip","jag vet inte","kommer inte på vad det betyder","",0,"",0,"",1
"skip","jag vet inte","","",0,"",0,"",1
"skip","skippa","","",1,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"skip","skutta","","",1,"",1,"",1
"slap","jag vet inte","","",0,"",0,"",1
"slap","slå","","",1,"",1,"",1
"slap","slå med öppen hand","","",1,"",1,"",1
"slap","slå till","","",1,"",1,"",1
"slap","slå, lavetta","","",1,"",1,"",1
"slap","örfila","","ppt pressed wrong: wants 7 on hand-related, and 1 on foot-related",1,"",1,"",1
"slap","örfila","","",1,"",1,"",1
"slide","glida","jag tror glida","",1,"",1,"",1
"slide","glida","","",1,"",1,"",1
"slide","halka, glida","","",1,"",1,"",1
"slide","jag vet inte","","",0,"",0,"",1
"slide","skjuta något åt något håll","","",1,"",-99,"korrekt men inte den benrelaterade betydelsen vi menar",0
"slide","slida, halka","","",1,"",1,"",1
"slip","halka","","",1,"",1,"",1
"slip","halka, slinta","","",1,"",1,"",1
"slip","jag vet inte","","",0,"",0,"",1
"slip","snubbla på","","",1,"",0,"",0
"slip","snubbla, glida","","",1,"",1,"",1
"slip","snubbla, halka","","",1,"",1,"",1
"slither","halka","inte säker men jag tror det har med halka att göra","",1,"",1,"",1
"slither","jag vet inte","har jag aldrig hört","",0,"",0,"",1
"slither","jag vet inte","","",0,"",0,"",1
"slither","slingra sig","","",1,"",1,"",1
"slither","slinta","","",1,"",0,"",0
"snatch","fånga","","",1,"",0,"",0
"snatch","jag vet inte","det är nåt med armar men jag vet inte vad","",0,"",0,"",1
"snatch","jag vet inte","inte helt säker","",0,"",0,"",1
"snatch","jag vet inte","","",0,"",0,"",1
"snatch","sno","","",1,"",1,"",1
"snatch","sno till sig","","",1,"",1,"",1
"snatch","sno åt sig, ta ngt snabbt","","",1,"",1,"",1
"snatch","ta nåt","","",1,"",1,"",1
"snatch","ta, sno åt sig","inte säker","",1,"",1,"",1
"snatch","ta, stjäla","typ","",1,"",1,"",1
"sneak","jag vet inte","","",0,"",0,"",1
"sneak","smyga","","",1,"",1,"",1
"sneak","snoka, kika","","",0,"",0,"",1
"sprint","jag vet inte","","",0,"",0,"",1
"sprint","rusa","","",0.5,"",1,"",0
"sprint","springa","sprint är väl ...ett ord för springa","",0.5,"",0.5,"",1
"sprint","springa","","",0.5,"",0.5,"",1
"sprint","springa fort","","",1,"",1,"",1
"sprint","springa snabbt","nånting med springa snabbt att göra","",1,"",1,"",1
"sprint","springa snabbt","","",1,"",1,"",1
"sprint","springa snabbt, spurta","","",1,"",1,"",1
"sprint","springa, sprinta","","",1,"",1,"",1
"sprint","sprinta","","",1,"",1,"",1
"sprint","spurta","","",1,"",1,"",1
"squat","benböj","","",-99,"noun instead of verb",-99,"inget verb, annars korrekt (även om ordet väl egentligen inte existerar?)",1
"squat","benböj, göra benböj","","",1,"",1,"",1
"squat","benböja","","",1,"",1,"",1
"squat","benhävning, benhäva sig","","",1,"",1,"",1
"squat","bo illegalt, att vara husockupant","","",-99,"correct but not the meaning we were looking for",-99,"korrekt men inte den benrelaterade betydelsen vi menar",1
"squat","böja på benen","vet inte exakt nånting med att böja på benen","",1,"",0.5,"",0
"squat","gå ner på huk, huka","","",1,"",1,"",1
"squat","huka sig","","",1,"",1,"",1
"squat","jag vet inte","""squatta... Jag vet inte""","",0,"",0,"",1
"squat","jag vet inte","","",0,"",0,"",1
"squat","sätta sig på huk","","",1,"",1,"",1
"squeeze","jag vet inte","","",0,"",0,"",1
"squeeze","klämma","","",1,"",1,"",1
"squeeze","krama","","",1,"",1,"",1
"squeeze","pressa","","",1,"",1,"",1
"squeeze","trycka","","",1,"",1,"",1
