"expName","date","participant","trial","verb","target","distrOne","distrTwo","w1","w2","w3","corr_answer","answer","correct","type"
"verb_norming","2018_Jun_08_1550",901,55,"braid","fläta","knyta","binda","binda","fläta","knyta",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,56,"snatch","rycka till sig","knuffa ifrån sig","plocka åt sig","rycka till sig","plocka åt sig","knuffa ifrån sig",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,57,"stomp","stampa","stiga","kliva","stampa","kliva","stiga",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,58,"poke","peta","trycka","knuffa","peta","trycka","knuffa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,59,"clutch","gripa tag i","sätta ihop","dra ut","gripa tag i","sätta ihop","dra ut",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,60,"stroll","strosa","trava","marschera","marschera","strosa","trava",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,61,"stumble","snubbla","glida","svaja","svaja","snubbla","glida",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,62,"grab","gripa tag i","fästa ihop","smälla till","smälla till","gripa tag i","fästa ihop",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,63,"squeeze","klämma","knuffa","knäppa","klämma","knuffa","knäppa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,64,"scoop","skyffla","dika","skrapa","skyffla","dika","skrapa",1,2,0,"arm"
"verb_norming","2018_Jun_08_1550",901,65,"step","gå","klampa","traska","klampa","gå","traska",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,66,"claw","klösa","nypa","rispa","nypa","klösa","rispa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,67,"limp","halta","hasa","halka","halka","halta","hasa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,68,"trudge","släpa sig fram","kasta sig fram","ta sig fram","kasta sig fram","släpa sig fram","ta sig fram",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,69,"pinch","nypa","plocka","pensla","plocka","nypa","pensla",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,70,"wrap","slå in","slå ihop","slå till","slå till","slå ihop","slå in",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,71,"roam","ströva omkring","ta sig fram","luffa runt","luffa runt","ta sig fram","ströva omkring",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,72,"skim","skumma","vispa","sleva","sleva","skumma","vispa",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,73,"run","springa","rusa","jogga","jogga","rusa","springa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,74,"polish","polera","sopa","tvätta","polera","sopa","tvätta",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,75,"wander","vandra","marschera","spatsera","spatsera","vandra","marschera",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,76,"sneak","smyga","hasa","glida","hasa","smyga","glida",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,77,"sprint","spurta","springa","löpa","springa","spurta","löpa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,78,"grip","gripa om","hålla om","kasta om","kasta om","gripa om","hålla om",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,79,"click","klicka","klappa","klämma","klicka","klämma","klappa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,80,"hike","vandra","flanera","lunka","lunka","flanera","vandra",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,81,"chop","hacka","tälja","riva","riva","tälja","hacka",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,82,"dunk","dunka","dumpa","dunsa","dunka","dumpa","dunsa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,83,"tiptoe","gå på tå","snava","sparka","gå på tå","sparka","snava",1,1,1,"leg"
"verb_norming","2018_Jun_08_1550",901,84,"grate","riva","hugga","rispa","riva","hugga","rispa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,85,"shake","skaka","röra","vispa","vispa","skaka","röra",2,2,1,"arm"
"verb_norming","2018_Jun_08_1550",901,86,"slide","glida","ramla","hasa","ramla","glida","hasa",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,87,"whip","piska","klappa","slå","klappa","slå","piska",3,3,1,"arm"
"verb_norming","2018_Jun_08_1550",901,88,"walk","gå","promenera","marschera","marschera","gå","promenera",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,89,"skip","hoppa","kliva","strutta","strutta","hoppa","kliva",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,90,"bounce","studsa","dunka","kasta","dunka","kasta","studsa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,91,"flit","rusa","hasa","svassa","svassa","hasa","rusa",3,3,1,"leg"
"verb_norming","2018_Jun_08_1550",901,92,"punch","slå","knuffa","kasta","slå","kasta","knuffa",1,1,1,"arm"
"verb_norming","2018_Jun_08_1550",901,93,"strut","svassa","lunka","strosa","strosa","svassa","lunka",2,2,1,"leg"
"verb_norming","2018_Jun_08_1550",901,94,"file","fila","putsa","riva","fila","putsa","riva",1,1,1,"arm"
