word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Arm,arm,0,22,22,93,0,0,0,0,,,,,,,,,,,,,4,9.003,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,Leg,leg,0,22,22,93,0,1,1,1,,,,,,,,,,,,,4,2.219,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SWITCH,slå på/av,knäppa,nypa,3,nypa,knäppa,slå på/av,,,0,22,22,93,,,,,,,,,,,,,,,,,,,3,1,9.19133880544,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FLEE,fly,lyfta,flyga,3,flyga,lyfta,fly,Arm,arm,0,23,23,22,0,0,0,0,,,,,,,,,,,,,1,10.082,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FLEE,fly,lyfta,flyga,3,flyga,lyfta,fly,Leg,leg,0,23,23,22,0,1,1,1,,,,,,,,,,,,,6,2.591,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FLEE,fly,lyfta,flyga,3,flyga,lyfta,fly,,,0,23,23,22,,,,,,,,,,,,,,,,,,,3,1,4.21033641024,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PULL,dra,slänga,släpa,2,slänga,dra,släpa,Arm,arm,0,24,24,54,0,0,0,0,,,,,,,,,,,,,7,4.787,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PULL,dra,slänga,släpa,2,slänga,dra,släpa,Leg,leg,0,24,24,54,0,1,1,1,,,,,,,,,,,,,1,4.35,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PULL,dra,slänga,släpa,2,slänga,dra,släpa,,,0,24,24,54,,,,,,,,,,,,,,,,,,,2,1,20.9314883492,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LEAP,hoppa,stega,kliva,2,stega,hoppa,kliva,Arm,arm,0,25,25,39,0,0,0,0,,,,,,,,,,,,,1,6.04,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LEAP,hoppa,stega,kliva,2,stega,hoppa,kliva,Leg,leg,0,25,25,39,0,1,1,1,,,,,,,,,,,,,7,4.671,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
LEAP,hoppa,stega,kliva,2,stega,hoppa,kliva,,,0,25,25,39,,,,,,,,,,,,,,,,,,,2,1,2.93585438844,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLITHER,hasa,glida,trilla,3,glida,trilla,hasa,Arm,arm,0,26,26,76,0,0,0,0,,,,,,,,,,,,,4,12.227,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLITHER,hasa,glida,trilla,3,glida,trilla,hasa,Leg,leg,0,26,26,76,0,1,1,1,,,,,,,,,,,,,5,2.955,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
SLITHER,hasa,glida,trilla,3,glida,trilla,hasa,,,0,26,26,76,,,,,,,,,,,,,,,,,,,3,1,2.18099109486,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WANDER,vandra,marschera,spatsera,3,marschera,spatsera,vandra,Arm,arm,0,27,27,106,0,0,0,0,,,,,,,,,,,,,1,7.629,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WANDER,vandra,marschera,spatsera,3,marschera,spatsera,vandra,Leg,leg,0,27,27,106,0,1,1,1,,,,,,,,,,,,,7,1.598,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
