item,type,word1,word2,word3,word4,word_duration,follow_blank,SOA,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,word_presentation_training.thisRepN,word_presentation_training.thisTrialN,word_presentation_training.thisN,word_presentation_training.thisIndex,experimental_blocks.thisRepN,experimental_blocks.thisTrialN,experimental_blocks.thisN,experimental_blocks.thisIndex,word_presentation.thisRepN,word_presentation.thisTrialN,word_presentation.thisN,word_presentation.thisIndex,key_resp_13.keys,key_resp_13.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,arm,catch,click,nip,clutch,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,13,13,13,,,,,space,10.2976703977,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,stumble,wobble,stagger,slither,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,14,14,14,,,,,space,11.3882199035,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,leap,stomp,walk,slide,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,15,15,15,,,,,space,9.8616130642,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scoop,scrape,grasp,brush,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,16,16,16,,,,,space,8.35227051376,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,throw,switch,pinch,snatch,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,17,17,17,,,,,space,7.37957294246,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,claw,wrap,lift,chop,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,18,18,18,,,,,space,6.40704526804,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,crawl,tread,inch,roll,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,19,19,19,,,,,space,9.10702278633,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,traipse,hike,hop,creep,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,20,20,20,,,,,space,12.5618248821,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,delve,wipe,grate,twine,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,21,21,21,,,,,space,9.22425756051,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skip,dance,step,rush,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,22,22,22,,,,,space,10.3983528695,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,dunk,punch,peel,seize,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,23,23,23,,,,,space,10.4653779791,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,polish,braid,cut,bind,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,24,24,24,,,,,space,5.53430000707,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,kneel,trek,wade,stroll,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,25,25,25,,,,,space,7.69807664878,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scrub,toss,slap,shake,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,26,26,26,,,,,space,6.64143697991,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,knock,scratch,squeeze,hack,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,0,27,27,27,,,,,space,6.13837903362,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,,,,,,0.4,0.4,0.8,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,brush,pat,click,hack,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,0,0,0,,,,,space,7.71451634507,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,scoop,dig,fold,nip,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,1,1,1,,,,,space,10.0636496932,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,skip,run,limp,inch,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,2,2,2,,,,,space,5.16589640162,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,slap,braid,whip,stir,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,3,3,3,,,,,space,7.26189564618,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,grip,wash,file,bash,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,4,4,4,,,,,space,7.41299244907,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,peel,clean,wipe,pull,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,5,5,5,,,,,space,9.49359469005,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,roam,bounce,pace,trudge,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,6,6,6,,,,,space,10.4317723761,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,plod,glide,stroll,strut,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,7,7,7,,,,,space,10.4989673826,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,claw,knock,seize,twine,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,8,8,8,,,,,space,5.90265382878,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,skim,chop,wrap,shake,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,9,9,9,,,,,space,5.97076825394,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,kick,tread,stamp,slip,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,10,10,10,,,,,space,8.98946283743,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,arm,lift,carve,clap,poke,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,11,11,11,,,,,space,7.76604409338,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
,leg,traipse,wander,jump,roll,0.2,0.4,0.6,0,0,0,0,,,,,0,3,3,1,0,12,12,12,,,,,space,7.78141185888,,,,,,,2018_Jun_18_0855,59.2601342571,sheb_replic_pilot_control,001,907,
