word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
POKE,peta,trycka,knuffa,3,knuffa,trycka,peta,Leg,leg,0,24,24,51,0,0,0,0,,,,,,,,,,,,,1,2.558,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
POKE,peta,trycka,knuffa,3,knuffa,trycka,peta,Arm,arm,0,24,24,51,0,1,1,1,,,,,,,,,,,,,7,1.588,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
POKE,peta,trycka,knuffa,3,knuffa,trycka,peta,,,0,24,24,51,,,,,,,,,,,,,,,,,,,3,1,2.02962053334,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
JUMP,hoppa,kliva,lyfta,2,lyfta,hoppa,kliva,Leg,leg,0,25,25,35,0,0,0,0,,,,,,,,,,,,,7,2.791,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
JUMP,hoppa,kliva,lyfta,2,lyfta,hoppa,kliva,Arm,arm,0,25,25,35,0,1,1,1,,,,,,,,,,,,,1,0.666,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
JUMP,hoppa,kliva,lyfta,2,lyfta,hoppa,kliva,,,0,25,25,35,,,,,,,,,,,,,,,,,,,2,1,1.29181725259,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TRAIPSE,traska,stappla,vandra,1,traska,stappla,vandra,Leg,leg,0,26,26,97,0,0,0,0,,,,,,,,,,,,,3,2.441,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TRAIPSE,traska,stappla,vandra,1,traska,stappla,vandra,Arm,arm,0,26,26,97,0,1,1,1,,,,,,,,,,,,,4,0.934,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
TRAIPSE,traska,stappla,vandra,1,traska,stappla,vandra,,,0,26,26,97,,,,,,,,,,,,,,,,,,,1,1,2.75081659158,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
GRATE,riva,hugga,rispa,2,hugga,riva,rispa,Leg,leg,0,27,27,28,0,0,0,0,,,,,,,,,,,,,5,4.216,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
GRATE,riva,hugga,rispa,2,hugga,riva,rispa,Arm,arm,0,27,27,28,0,1,1,1,,,,,,,,,,,,,3,0.479,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
GRATE,riva,hugga,rispa,2,hugga,riva,rispa,,,0,27,27,28,,,,,,,,,,,,,,,,,,,3,0,4.9141823199,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Leg,leg,0,28,28,4,0,0,0,0,,,,,,,,,,,,,1,3.816,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Arm,arm,0,28,28,4,0,1,1,1,,,,,,,,,,,,,7,1.002,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,,,0,28,28,4,,,,,,,,,,,,,,,,,,,3,1,2.66691558535,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,Leg,leg,0,29,29,107,0,0,0,0,,,,,,,,,,,,,1,2.945,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,Arm,arm,0,29,29,107,0,1,1,1,,,,,,,,,,,,,7,1.388,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
WASH,tvätta,skura,sopa,3,skura,sopa,tvätta,,,0,29,29,107,,,,,,,,,,,,,,,,,,,3,1,3.35452026455,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,Leg,leg,0,30,30,20,0,0,0,0,,,,,,,,,,,,,1,3.429,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,Arm,arm,0,30,30,20,0,1,1,1,,,,,,,,,,,,,7,0.916,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DUNK,dunka,dumpa,dunsa,2,dumpa,dunka,dunsa,,,0,30,30,20,,,,,,,,,,,,,,,,,,,2,1,2.41549862561,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DELVE,gräva,plöja,rensa,2,rensa,gräva,plöja,Leg,leg,0,31,31,18,0,0,0,0,,,,,,,,,,,,,3,2.756,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DELVE,gräva,plöja,rensa,2,rensa,gräva,plöja,Arm,arm,0,31,31,18,0,1,1,1,,,,,,,,,,,,,3,0.714,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DELVE,gräva,plöja,rensa,2,rensa,gräva,plöja,,,0,31,31,18,,,,,,,,,,,,,,,,,,,2,1,4.34405224606,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SCOOP,skyffla,dika,skrapa,1,skyffla,skrapa,dika,Leg,leg,0,32,32,63,0,0,0,0,,,,,,,,,,,,,1,3.328,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SCOOP,skyffla,dika,skrapa,1,skyffla,skrapa,dika,Arm,arm,0,32,32,63,0,1,1,1,,,,,,,,,,,,,7,0.849,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
SCOOP,skyffla,dika,skrapa,1,skyffla,skrapa,dika,,,0,32,32,63,,,,,,,,,,,,,,,,,,,2,0,5.11556148746,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DIG,gräva,dränera,dika,2,dränera,gräva,dika,Leg,leg,0,33,33,19,0,0,0,0,,,,,,,,,,,,,1,2.826,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DIG,gräva,dränera,dika,2,dränera,gräva,dika,Arm,arm,0,33,33,19,0,1,1,1,,,,,,,,,,,,,7,0.631,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
DIG,gräva,dränera,dika,2,dränera,gräva,dika,,,0,33,33,19,,,,,,,,,,,,,,,,,,,2,1,1.27492239071,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,Leg,leg,0,34,34,15,0,0,0,0,,,,,,,,,,,,,3,2.322,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,Arm,arm,0,34,34,15,0,1,1,1,,,,,,,,,,,,,2,0.901,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CREEP,krypa,knäböja,klättra,3,knäböja,klättra,krypa,,,0,34,34,15,,,,,,,,,,,,,,,,,,,3,1,1.84521090327,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PEEL,skala,rensa,plocka,2,rensa,skala,plocka,Leg,leg,0,35,35,47,0,0,0,0,,,,,,,,,,,,,1,3.632,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PEEL,skala,rensa,plocka,2,rensa,skala,plocka,Arm,arm,0,35,35,47,0,1,1,1,,,,,,,,,,,,,7,0.55,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
PEEL,skala,rensa,plocka,2,rensa,skala,plocka,,,0,35,35,47,,,,,,,,,,,,,,,,,,,2,1,1.49294829169,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Leg,leg,0,36,36,88,0,0,0,0,,,,,,,,,,,,,3,2.003,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,Arm,arm,0,36,36,88,0,1,1,1,,,,,,,,,,,,,2,0.413,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
STRIDE,kliva,tassa,lunka,1,kliva,tassa,lunka,,,0,36,36,88,,,,,,,,,,,,,,,,,,,3,0,2.36519373974,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
CATCH,fånga,krama,omfamna,1,fånga,omfamna,krama,Leg,leg,0,37,37,6,0,0,0,0,,,,,,,,,,,,,1,1.72,,,,,,2018_Jun_18_1531,59.6364480341,verb_norming,001,909,
