word,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
GRATE,Leg,leg,0,88,88,20,0,1,1,1,4,0.933,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
GRATE,,,0,88,88,20,,,,,,,return,0.45325426907,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
RUB,Arm,arm,0,89,89,37,0,0,0,0,7,5.712,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
RUB,Leg,leg,0,89,89,37,0,1,1,1,3,2.227,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
RUB,,,0,89,89,37,,,,,,,return,0.788895179927,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HIKE,Arm,arm,0,90,90,69,0,0,0,0,4,4.303,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HIKE,Leg,leg,0,90,90,69,0,1,1,1,4,0.566,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
HIKE,,,0,90,90,69,,,,,,,return,10.1635888211,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STAB,Arm,arm,0,91,91,49,0,0,0,0,7,3.398,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STAB,Leg,leg,0,91,91,49,0,1,1,1,1,0.616,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STAB,,,0,91,91,49,,,,,,,return,0.704690792383,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POLISH,Arm,arm,0,92,92,32,0,0,0,0,7,3.296,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POLISH,Leg,leg,0,92,92,32,0,1,1,1,1,0.515,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
POLISH,,,0,92,92,32,,,,,,,return,0.78847794315,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WADDLE,Arm,arm,0,93,93,123,0,0,0,0,1,2.625,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WADDLE,Leg,leg,0,93,93,123,0,1,1,1,7,1.32,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WADDLE,,,0,93,93,123,,,,,,,return,0.285486758463,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DUNK,Arm,arm,0,94,94,14,0,0,0,0,7,2.979,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DUNK,Leg,leg,0,94,94,14,0,1,1,1,1,0.717,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
DUNK,,,0,94,94,14,,,,,,,return,0.386172788971,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WHIP,Arm,arm,0,95,95,57,0,0,0,0,6,3.817,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WHIP,Leg,leg,0,95,95,57,0,1,1,1,1,0.985,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
WHIP,,,0,95,95,57,,,,,,,return,1.24122686578,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAKE,Arm,arm,0,96,96,43,0,0,0,0,7,2.76,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAKE,Leg,leg,0,96,96,43,0,1,1,1,1,0.498,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SHAKE,,,0,96,96,43,,,,,,,return,0.503570021696,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SPRINT,Arm,arm,0,97,97,98,0,0,0,0,1,3.698,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SPRINT,Leg,leg,0,97,97,98,0,1,1,1,7,0.448,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SPRINT,,,0,97,97,98,,,,,,,return,3.06946715781,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
JUMP,Arm,arm,0,98,98,74,0,0,0,0,1,3.329,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
JUMP,Leg,leg,0,98,98,74,0,1,1,1,7,0.43,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
JUMP,,,0,98,98,74,,,,,,,return,0.922728222789,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CLICK,Arm,arm,0,99,99,10,0,0,0,0,7,4.135,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CLICK,Leg,leg,0,99,99,10,0,1,1,1,1,1.287,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
CLICK,,,0,99,99,10,,,,,,,return,1.52653029293,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BRAID,Arm,arm,0,100,100,2,0,0,0,0,4,2.559,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BRAID,Leg,leg,0,100,100,2,0,1,1,1,4,0.415,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
BRAID,,,0,100,100,2,,,,,,,return,1.09044832013,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRAY,Arm,arm,0,101,101,106,0,0,0,0,4,2.341,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRAY,Leg,leg,0,101,101,106,0,1,1,1,4,1.169,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
STRAY,,,0,101,101,106,,,,,,,return,0.570666515998,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
SNATCH,Arm,arm,0,102,102,47,0,0,0,0,7,2.64,,,2018_Sep_17_1327,59.626939514,verb_norming_L2-eng_oral_translation,001,810,
