"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score","comment","type"
"verb_norming_oral_input","2018_Jun_14_1448",906,17,2.59992722063,"halka","slip","halka",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,18,5.09878357304,"lyfta","lift","lyfta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,19,6.35643795164,"strosa","stroll","promenera",1,"unsure of correctness","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,20,2.66705808955,"slänga","toss","kasta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,21,2.21419893107,"klappa","pat","klappa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,22,19.1697628191,"skyffla","scoop","sleva",-99,"unsure of correctness","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,23,3.40505947007,"skaka","shake","skaka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,24,2.1136302484,"sticka","stab","hugga",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,25,2.18070382629,"rengöra","clean","städa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,26,2.95218450716,"skutta","hop","hoppa",1,"unsure of correctness","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,27,2.85151783707,"klösa","claw","klösa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,28,3.85784671843,"slå på/av","switch","byta",-99,"correct, but not at all hand-related. All ppts answered this in the oral input.","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,29,3.92481203602,"peta","poke","peta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,30,2.23086192979,"kravla","crawl","krypa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,31,3.69005036474,"piska","whip","snärta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,32,2.11363815061,"smyga","sneak","smyga",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,33,3.47201925611,"vingla","roll","rulla",1,"I think all participants answered this as well. Correct but not the foot-related word we're looking for. ","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,34,23.0439078491,"ragla","stagger","",0,"","leg"
