"expName","date","participant","trial","verb","translation","Score","verb_category","cognate_bin","cognate","in_orig"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,78,"cycle","cykla",1,"leg",1,"cykla","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,79,"straddle","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,80,"slide","glida",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,81,"dash","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,82,"slip","snubbla, halka",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,83,"mount","jag vet inte",0,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,84,"stir","röra",1,"arm",-99,"störa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,85,"tread","jag vet inte",0,"leg",1,"träda","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,86,"clutch","jag vet inte",0,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,87,"grab","ta",1,"arm",1,"grabba","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,88,"crouch","krossa",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,89,"fold","vika",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,90,"pluck","vet inte",0,"arm",1,"plocka","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,91,"trek","vandra",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,92,"sway","sväva, flyga",0,"leg",1,"svaja","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,93,"jump","hoppa",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,94,"kneel","böja",0,"leg",1,"knäa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,95,"stroll","strosa",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,96,"squat","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,97,"skip","hoppa över",1,"leg",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,98,"nip","jag vet inte",0,"arm",1,"nypa","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,99,"strut","jag vet inte",0,"leg",1,"strutta","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,100,"snatch","jag vet inte",0,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,101,"grovel","ta, grabba tag, snatta",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,102,"prance","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,103,"dunk","jag vet inte",0,"arm",1,"dunka","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,104,"glide","glida",1,"leg",1,"glida","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,105,"stagger","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,106,"lumber","jag vet inte",0,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,107,"claw","klösa",1,"arm",1,"klösa","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,108,"chop","hugga",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,109,"jog","jogga",1,"leg",1,"jogga","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,110,"sprint","springa snabbt, spurta",1,"leg",1,"sprinta","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,111,"punch","slå",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,112,"stumble","snubbla",1,"leg",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,113,"seize","jag vet inte",0,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,114,"skim","jag vet inte",0,"arm",1,"skumma","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,115,"slap","slå",1,"arm",0,"","no"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,116,"clean","städa",1,"arm",0,"","yes"
"verb_norming_L2-eng_oral_translation","2018_Sep_10_1112",801,117,"bind","jag vet inte",0,"arm",1,"binda","yes"
