"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,112,"dash","leg","Arm",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,112,"dash","leg","Leg",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,113,"grovel","leg","Arm",5,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,113,"grovel","leg","Leg",2,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,114,"dig","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,114,"dig","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,115,"peel","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,115,"peel","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,116,"tramp","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,116,"tramp","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,117,"grab","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,117,"grab","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,118,"row","arm","Arm",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,118,"row","arm","Leg",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,119,"kneel","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,119,"kneel","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,120,"scrub","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,120,"scrub","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,121,"poke","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,121,"poke","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,122,"stray","leg","Arm",1,"june+sept"
